country,vaccine,year,immunization_coverage
fra,dtp3,1988,79.0
fra,dtp3,1989,95.0
fra,dtp3,1990,94.0
fra,dtp3,1991,94.0
fra,dtp3,1992,94.0
fra,dtp3,1993,94.0
fra,dtp3,1994,96.0
fra,dtp3,1995,96.0
fra,dtp3,1996,97.0
fra,dtp3,1997,97.0
fra,dtp3,1998,96.0
fra,dtp3,1999,97.0
fra,dtp3,2000,97.0
fra,dtp3,2001,97.0
fra,dtp3,2002,97.0
fra,dtp3,2003,97.0
fra,dtp3,2004,98.0
fra,dtp3,2005,98.0
fra,dtp3,2006,99.0
fra,dtp3,2007,99.0
fra,dtp3,2008,99.0
fra,dtp3,2009,98.0
fra,dtp3,2010,99.0
fra,dtp3,2011,99.0
fra,dtp3,2012,99.0
fra,dtp3,2013,99.0
fra,dtp3,2014,98.0
fra,dtp3,2015,97.0
fra,dtp3,2016,96.0
fra,dtp3,2017,96.0
fsm,bcg,1989,8.0
fsm,bcg,1990,12.0
fsm,bcg,1991,50.0
fsm,bcg,1992,50.0
fsm,bcg,1993,50.0
fsm,bcg,1994,50.0
fsm,bcg,1995,50.0
fsm,bcg,1996,49.0
fsm,bcg,1997,48.0
fsm,bcg,1998,52.0
fsm,bcg,1999,39.0
fsm,bcg,2000,24.0
fsm,bcg,2001,39.0
fsm,bcg,2002,52.0
fsm,bcg,2003,64.0
fsm,bcg,2004,62.0
fsm,bcg,2005,70.0
fsm,bcg,2006,55.0
fsm,bcg,2007,82.0
fsm,bcg,2008,79.0
fsm,bcg,2009,75.0
fsm,bcg,2010,70.0
fsm,bcg,2011,75.0
fsm,bcg,2012,78.0
fsm,bcg,2013,70.0
fsm,bcg,2014,73.0
fsm,bcg,2015,76.0
fsm,bcg,2016,85.0
fsm,bcg,2017,83.0
fsm,dtp1,1987,80.0
fsm,dtp1,1988,95.0
fsm,dtp1,1989,98.0
fsm,dtp1,1990,95.0
fsm,dtp1,1991,92.0
fsm,dtp1,1992,97.0
fsm,dtp1,1993,92.0
fsm,dtp1,1994,93.0
fsm,dtp1,1995,94.0
fsm,dtp1,1996,92.0
fsm,dtp1,1997,91.0
fsm,dtp1,1998,91.0
fsm,dtp1,1999,92.0
fsm,dtp1,2000,92.0
fsm,dtp1,2001,90.0
fsm,dtp1,2002,87.0
fsm,dtp1,2003,97.0
fsm,dtp1,2004,81.0
fsm,dtp1,2005,98.0
fsm,dtp1,2006,83.0
fsm,dtp1,2007,86.0
fsm,dtp1,2008,87.0
fsm,dtp1,2009,97.0
fsm,dtp1,2010,90.0
fsm,dtp1,2011,96.0
fsm,dtp1,2012,97.0
fsm,dtp1,2013,98.0
fsm,dtp1,2014,97.0
fsm,dtp1,2015,95.0
fsm,dtp1,2016,95.0
fsm,dtp1,2017,97.0
fsm,dtp3,1987,57.0
fsm,dtp3,1988,85.0
fsm,dtp3,1989,95.0
fsm,dtp3,1990,85.0
fsm,dtp3,1991,79.0
fsm,dtp3,1992,91.0
fsm,dtp3,1993,78.0
fsm,dtp3,1994,81.0
fsm,dtp3,1995,83.0
fsm,dtp3,1996,79.0
fsm,dtp3,1997,75.0
fsm,dtp3,1998,80.0
fsm,dtp3,1999,76.0
fsm,dtp3,2000,85.0
fsm,dtp3,2001,75.0
fsm,dtp3,2002,84.0
fsm,dtp3,2003,92.0
fsm,dtp3,2004,78.0
fsm,dtp3,2005,94.0
fsm,dtp3,2006,67.0
fsm,dtp3,2007,79.0
fsm,dtp3,2008,85.0
fsm,dtp3,2009,91.0
fsm,dtp3,2010,85.0
fsm,dtp3,2011,84.0
fsm,dtp3,2012,81.0
fsm,dtp3,2013,81.0
